  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
  728     1 S      0.0  0.2 01-16:48:37 /Applications/Manus.app/Contents/MacOS/Manus
  729     1 S      0.0  0.6 01-16:48:37 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  731     1 Ss     0.0  0.0 01-16:48:37 /usr/libexec/nearbyd
  732     1 S      0.1  0.1 01-16:48:37 /usr/libexec/sharingd
  733     1 S      0.0  0.1 01-16:48:37 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  734     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  736     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  737     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  738     1 S      0.0  0.0 01-16:48:37 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  739     1 S      0.0  0.1 01-16:48:37 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  740     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  741     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  742     1 S      0.0  0.0 01-16:48:37 /usr/libexec/findmylocateagent
  744     1 S      0.0  0.0 01-16:48:37 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  745     1 R     20.5  0.4 01-16:48:37 /Applications/iTerm.app/Contents/MacOS/iTerm2
  746     1 Ss     0.0  0.1 01-16:48:37 /usr/libexec/aned
  747     1 S      0.0  0.0 01-16:48:37 /System/Library/CoreServices/sharedfilelistd
  748     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  749     1 S      0.0  0.0 01-16:48:37 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  750     1 S      0.0  0.0 01-16:48:37 /usr/libexec/transparencyd
  751     1 S      0.0  0.1 01-16:48:37 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  752     1 S      0.0  0.1 01-16:48:37 /System/Library/CoreServices/ReportCrash
  753     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  754     1 S      6.6  0.2 01-16:48:37 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
  755     1 Ss     0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  756     1 S      0.0  0.0 01-16:48:37 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
  757     1 S      0.0  0.1 01-16:48:37 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  758     1 S      0.0  0.0 01-16:48:37 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  759     1 S      0.0  0.0 01-16:48:37 /usr/libexec/pkd
  760     1 S      0.0  0.0 01-16:48:37 /usr/libexec/frauddefensed
